year,sessions,branch_name
2017,137999,Albion
2014,142159,Albion
2015,142187,Albion
2020,26076,Albion
2013,139402,Albion
2018,111939,Albion
2016,140606,Albion
2019,105936,Albion
2021,14154,Albion
2012,132024,Albion
2022,44967,Albion
2015,145984,Albert Campbell
2018,82784,Albert Campbell
2019,54592,Albert Campbell
2014,149898,Albert Campbell
2016,149712,Albert Campbell
2017,150308,Albert Campbell
2013,133591,Albert Campbell
2012,131353,Albert Campbell
2022,14030,Albert Campbell
2013,16238,Alderwood
2018,12162,Alderwood
2020,1892,Alderwood
2012,16279,Alderwood
2014,16500,Alderwood
2015,16700,Alderwood
2019,10518,Alderwood
2022,2587,Alderwood
2021,504,Alderwood
2017,15213,Alderwood
2016,16338,Alderwood
2020,25441,Agincourt
2015,158536,Agincourt
2021,10508,Agincourt
2018,112149,Agincourt
2019,110006,Agincourt
2014,166023,Agincourt
2017,134675,Agincourt
2013,180672,Agincourt
2016,103406,Agincourt
2012,140407,Agincourt
2022,35212,Agincourt
2017,11225,Armour Heights
2015,11013,Armour Heights
2019,9414,Armour Heights
2014,11800,Armour Heights
2018,9753,Armour Heights
2013,11250,Armour Heights
2021,1044,Armour Heights
2012,11895,Armour Heights
2022,1852,Armour Heights
2016,10988,Armour Heights
2020,1811,Armour Heights
2017,37370,Annette Street
2018,21239,Annette Street
2013,30396,Annette Street
2015,34038,Annette Street
2012,36663,Annette Street
2019,20898,Annette Street
2014,28629,Annette Street
2022,6485,Annette Street
2016,29238,Annette Street
2021,3349,Annette Street
2020,5746,Annette Street
2015,16300,Amesbury Park
2018,13010,Amesbury Park
2014,18550,Amesbury Park
2021,1588,Amesbury Park
2016,16563,Amesbury Park
2012,18961,Amesbury Park
2022,5981,Amesbury Park
2017,7439,Amesbury Park
2013,17788,Amesbury Park
2019,13549,Amesbury Park
2020,4251,Amesbury Park
2014,26263,Brookbanks
2012,19784,Brookbanks
2018,16333,Brookbanks
2021,1970,Brookbanks
2015,19700,Brookbanks
2016,19713,Brookbanks
2020,4129,Brookbanks
2017,16113,Brookbanks
2022,6340,Brookbanks
2013,22950,Brookbanks
2019,16706,Brookbanks
2021,2747,Black Creek
2016,21763,Black Creek
2014,24600,Black Creek
2015,24413,Black Creek
2017,19913,Black Creek
2022,9480,Black Creek
2012,25755,Black Creek
2020,5912,Black Creek
2019,25777,Black Creek
2018,24989,Black Creek
2013,21560,Black Creek
2014,20538,Bendale
2021,1597,Bendale
2022,5019,Bendale
2017,18675,Bendale
2012,19911,Bendale
2020,3706,Bendale
2015,21100,Bendale
2016,18088,Bendale
2018,14323,Bendale
2013,22293,Bendale
2019,13281,Bendale
2013,46488,Beaches
2014,41963,Beaches
2018,31292,Beaches
2012,45165,Beaches
2019,26353,Beaches
2022,9254,Beaches
2021,3402,Beaches
2017,40875,Beaches
2016,45825,Beaches
2020,7102,Beaches
