branch_code,branch_name
AB,Albion
ACD,Albert Campbell
AD,Alderwood
AG,Agincourt
AH,Armour Heights
AL,Answerline
AN,Annette Street
AP,Amesbury Park
BB,Brookbanks
BC,Black Creek
BD,Bendale
BE,Beaches
BF,Barbara Frum
BKONE,Bookmobile One
BKTWO,Bookmobile Two
BL,Bloor/Gladstone
BR,Brentwood
BRW,Bridlewood
BUR,Burrows Hall
CC,Cliffcrest
CE,Centennial
CED,Cedarbrae
CH,City Hall
CL,North York Central Library
CS,College/Shaw
DA,Danforth/Coxwell
DM,Don Mills
DO,Downsview
DP,Deer Park
DR,Dawes Road
DS,Departmental Staff
DT,Davenport
DU,Dufferin/St. Clair
EA,Eatonville
EB,Elmbrook Park
EG,Evelyn Gregory
EN,Ethennonnhawahstihnen'
ES,Eglinton Square
FH,Forest Hill
FO,Fort York
FP,Flemingdon Park
FV,Fairview
GE,Gerrard/Ashdale
GHP,Goldhawk Park
GW,Guildwood
HB,Humber Bay
HC,Highland Creek
HIL,Hillcrest
HLS,Home Library Service
HP,High Park
HS,Humber Summit
HW,Humberwood
IL,Interloan
JD,Jane/Dundas
JO,Jones
JS,Jane/Sheppard
KE,Kennedy/Eglinton
LB,Long Branch
LD,Literacy Deposits
LE,Leaside
LO,Locke
LS,Lillian H. Smith
MA,Main Street
MAL,Malvern
MAS,Maria A. Shchuka
MCG,McGregor Park
MD,Mount Dennis
ME,Merril Collection
MI,Mimico Centennial
MP,Mount Pleasant
MRV,Maryvale
MS,Morningside
ND,Northern District
NE,Northern Elms
NT,New Toronto
OS,Osborne Collection
OV,Oakwood Village Library and Arts Centre
PA,Pape/Danforth
PE,Perth/Dupont
PK,Parkdale
PL,Parliament Street
PM,Palmerston
PR,Automated Phone System
PU,Port Union
PV,Pleasant View
QS,Queen/Saulter
RD,Riverdale
RI,Richview
RN,Runnymede
RX,Rexdale
SA,Sanderson
SB,Sunnybrook Hospital
SC,Scarborough Civic Centre
SI,St. Clair/Silverthorn
SJ,St. James Town
SL,St. Lawrence
SP,Spadina Road
ST,Steeles
SW,Swansea Memorial
SWS,S. Walter Stewart
TA,Taylor Memorial
TH,Thorncliffe
TOD,Todmorden Room
TRL,Toronto Reference Library
VIR,Virtual Library
VV,Victoria Village
WE,Weston
WP,Woodview Park
WS,Woodside Square
WY,Wychwood
YO,Yorkville
YW,York Woods
